campaign_id,click_rate
1889,0.02023368540492417
1890,0.7
1891,0.20031412962638964
1892,0.20031412962638964
1893,0.08347427904406149
1894,0.02023368540492417
1895,0.08347427904406149
1896,0.02023368540492417
1897,0.006532121045070044
1898,0.02023368540492417
1899,0.02023368540492417
1900,0.08347427904406149
1901,0.04002989779072436
1902,0.006532121045070044
1903,0.006532121045070044
1904,0.02023368540492417
1905,0.006532121045070044
1906,0.04002989779072436
1907,0.006532121045070044
1908,0.04002989779072436
1909,0.02023368540492417
1910,0.02023368540492417
1911,0.08347427904406149
1912,0.01321208314214257
1913,0.08347427904406149
1914,0.08347427904406149
1915,0.08347427904406149
1916,0.006532121045070044
1917,0.04213672190262518
1918,0.02023368540492417
1919,0.02023368540492417
1920,0.04002989779072436
1921,0.02023368540492417
1922,0.07600288284101846
1923,0.02292104737630933
1924,0.08347427904406149
1925,0.006532121045070044
1926,0.01321208314214257
1927,0.006532121045070044
1928,0.02292104737630933
1929,0.02023368540492417
1930,0.02292104737630933
1931,0.02023368540492417
1932,0.08347427904406149
1933,0.08347427904406149
1934,0.01321208314214257
1935,0.04002989779072436
1936,0.02023368540492417
1937,0.04002989779072436
1938,0.01321208314214257
1939,0.006532121045070044
1940,0.02023368540492417
1941,0.02023368540492417
1942,0.08347427904406149
1943,0.006532121045070044
1944,0.02023368540492417
1945,0.02292104737630933
1946,0.01321208314214257
1947,0.006532121045070044
1948,0.006532121045070044
1949,0.08347427904406149
1950,0.02023368540492417
1951,0.02023368540492417
1952,0.006532121045070044
1953,0.006532121045070044
1954,0.02023368540492417
1955,0.01321208314214257
1956,0.04002989779072436
1957,0.02023368540492417
1958,0.08347427904406149
1959,0.04002989779072436
1960,0.07614653532702567
1961,0.04002989779072436
1962,0.02023368540492417
1963,0.08347427904406149
1964,0.02023368540492417
1965,0.006532121045070044
1966,0.04002989779072436
1967,0.01321208314214257
1968,0.02023368540492417
1969,0.02292104737630933
1970,0.04002989779072436
1971,0.12803899339738237
1972,0.02023368540492417
1973,0.02292104737630933
1974,0.02023368540492417
1975,0.01321208314214257
1976,0.006532121045070044
1977,0.04002989779072436
1978,0.02023368540492417
1979,0.006532121045070044
1980,0.006532121045070044
1981,0.08347427904406149
1982,0.02292104737630933
1983,0.02023368540492417
1984,0.055464452898121026
1985,0.02023368540492417
1986,0.02292104737630933
1987,0.006532121045070044
1988,0.04002989779072436
1989,0.019442759447205474
1990,0.019442759447205474
1991,0.019442759447205474
1992,0.006532121045070044
1993,0.006532121045070044
1994,0.01321208314214257
1995,0.006532121045070044
1996,0.02023368540492417
1997,0.01321208314214257
1998,0.02023368540492417
1999,0.08347427904406149
2000,0.02023368540492417
2001,0.08347427904406149
2002,0.055464452898121026
2003,0.04002989779072436
2004,0.01321208314214257
2005,0.08347427904406149
2006,0.08347427904406149
2007,0.02023368540492417
2008,0.02023368540492417
2009,0.01321208314214257
2010,0.055464452898121026
2011,0.04002989779072436
2012,0.01321208314214257
2013,0.02292104737630933
2014,0.02292104737630933
2015,0.02023368540492417
2016,0.02292104737630933
2017,0.01321208314214257
2018,0.02023368540492417
2019,0.02292104737630933
2020,0.02023368540492417
2021,0.01321208314214257
2022,0.02292104737630933
2023,0.02023368540492417
2024,0.02023368540492417
2025,0.02023368540492417
2026,0.02292104737630933
2027,0.02292104737630933
2028,0.02023368540492417
2029,0.006532121045070044
2030,0.04002989779072436
2031,0.02292104737630933
2032,0.04002989779072436
2033,0.12803899339738237
2034,0.04002989779072436
2035,0.02023368540492417
2036,0.04002989779072436
2037,0.02023368540492417
2038,0.01321208314214257
2039,0.04002989779072436
2040,0.019442759447205474
2041,0.019442759447205474
2042,0.04002989779072436
2043,0.01321208314214257
2044,0.04002989779072436
2045,0.02023368540492417
2046,0.04002989779072436
2047,0.01321208314214257
2048,0.006532121045070044
2049,0.006532121045070044
2050,0.1830985915492957
2051,0.006532121045070044
2052,0.02292104737630933
2053,0.01321208314214257
2054,0.01321208314214257
2055,0.02023368540492417
2056,0.02292104737630933
2057,0.006532121045070044
2058,0.006532121045070044
2059,0.02023368540492417
2060,0.02023368540492417
2061,0.04213672190262518
2062,0.017677108847945502
2063,0.02023368540492417
2064,0.02292104737630933
2065,0.006532121045070044
2066,0.006532121045070044
2067,0.12803899339738237
2068,0.006532121045070044
2069,0.006532121045070044
2070,0.4222222222222222
2071,0.01321208314214257
2072,0.006532121045070044
2073,0.01321208314214257
2074,0.006532121045070044
2075,0.02023368540492417
2076,0.08347427904406149
2077,0.08347427904406149
2078,0.06786320346530339
2079,0.006532121045070044
2080,0.055464452898121026
2081,0.02023368540492417
2082,0.08347427904406149
2083,0.02023368540492417
2084,0.12803899339738237
2085,0.02023368540492417
2086,0.02023368540492417
2087,0.08347427904406149
2088,0.055464452898121026
2089,0.02023368540492417
2090,0.02023368540492417
2091,0.02023368540492417
2092,0.01321208314214257
2093,0.02292104737630933
2094,0.04002989779072436
2095,0.055464452898121026
2096,0.055464452898121026
2097,0.055464452898121026
2098,0.02023368540492417
